French,English
partie,part
chercher,search
police,police
pensais,thought
aide,help
demande,request
genre,kind
mois,month
frère,brother
laisser,let
car,because
aucun,no
laisse,leash
eux,them
ville,city
arrivé,come
devrait,should
bébé,baby
heures,hours
vont,will
compris,understood
savais,knew
étaient,were
attention,Warning
voici,here is
donner,give
type,type
leurs,their
donné,given
train,train
corps,body
endroit,place
yeux,eyes
façon,way
écoute,listen
dont,whose
main,hand
première,first
côté,side
pouvoir,power
vieux,old
sois,be
tellement,so much
enfant,child
point,point
venu,came
pardon,sorry
venez,come
minutes,minutes
chambre,bedroom
belle,beautiful
aujourd'hui,today
cause,cause
enfin,finally
espère,hope
eau,water
parti,left
nouvelle,new
boulot,job
arrêter,Stop
dirait,would say
terre,Earth
compte,account
donne,given
loin,far
fin,end
croire,believe
gros,large
plutôt,rather
filles,girls
jouer,to play
